SUBD_DESC,median_price,n_parcels,median_size,median_dur_owned
CARDENS CRK SEC 4,129000,12,0.691,23.4027397260274
CARDINAL LK P 08/P 11,190000,14,0.1555,
CARDINAL LK P01-A ---- SF,146500,80,0.1945,12.3890410958904
CARDINAL LK P01-B ---- TW,127500,19,0.072,14.0917808219178
CARDINAL LK P02-07-13  SF,184500,66,0.2215,13.2191780821918
CARDINAL LK P03 ------ TW,133500,15,0.071,5.39178082191781
CARDINAL LK P04 ------ SF,195500,19,0.222,8.79178082191781
CARDINAL LK P05-08-11  TW,117250,18,0.096,8.70958904109589
CARDINAL LK P06-09-12  SF,182500,67,0.171,7.38082191780822
CARDINAL LK P10 ------ SF,178000,27,0.208,9.88219178082192
CARDINAL LK P15  REC SITE,0,2,0.8735,10.5561643835616
CARDINAL OAKS/PH 01,220000,53,0.148,3.05205479452055
CARDINAL OAKS/PH 3,227500,31,0.143,2.95068493150685
CARILLON FRST  PH 01A-01B,355000,76,0.3175,7.08630136986301
CARILLON FRST  PH 02 -03,343750,102,0.289,5.87945205479452
CARMEL HGHTS,0,14,0.5125,23.4027397260274
CARMICHAEL CONDOMINIUMS,625000,4,1.387,7.21643835616438
CARPENTERS RDG,143500,10,0.3045,5.83013698630137
CARRAMORE,225000,7,2.066,9.64109589041096
CARRIAGE HILL,336000,30,0.4825,6.28493150684932
CARRINGTON FRM,10500,32,0.206,13.641095890411
CARRLAND PRK,122000,35,0.252,6.13150684931507
CARROLLTON,156500,10,0.183,15.1452054794521
CARTER AVE CONDOMINIUMS,655000,1,1.326,
CARTHAGE VILLAGE,885000,23,0.147,
CASA GRANDE SEC 01,0,18,0.241,23.4027397260274
CASA GRANDE SEC 02,0,9,0.241,16.4
CASA GRANDE SEC 03,125250,18,0.244,11.0095890410959
CEDAR HLS DEV,67500,70,0.454,21.2342465753425
CEDAR HLS DEV 2,0,9,0.366,23.4027397260274
CEDAR TERRACE OFC PLAZA,0,3,1.724,11.1178082191781
CEDAR VLY PH 01,0,27,0.215,10.3342465753425
CEDAR VLY PH 02,111000,25,0.224,21.5493150684932
CEDAR VLY PH 03,120000,6,0.2695,1.62465753424658
CEDARWD VILLAS TWN SEC 1,58000,17,0.035,20.7178082191781
CEDARWD VILLAS TWN SEC 2,0,18,0.037,23.4027397260274
CENTRAL PARK,0,3,4.46,13.0520547945205
CHADSFORD PH 01,243250,44,0.2025,4.05205479452055
CHADSFORD PH 02,246000,23,0.23,6.03561643835617
CHAMBERLYN L01-29/128-150,314000,51,0.201,3.6958904109589
CHAMBERLYN/PH 02,351500,37,0.201,4.97534246575343
CHANCELLORS RDG 1A,231000,57,0.227,5.83835616438356
CHANCELLORS RDG 1B,229500,73,0.192,9.71506849315069
CHANCELLORS RDG 1C,191500,3,0.286,
CHANCELLORS RDG 2A,260000,49,0.217,7.21506849315069
CHANCELLORS RDG 2B,306500,92,0.2025,11.9698630136986
CHANCELLORS RDG 2B 161-73,289000,15,0.243,5.22465753424658
CHANCELLORS RDG 2C,245500,33,0.142,5.45068493150685
CHANCELLORS RDG 3  TWNHMS,155750,80,0.049,6.37260273972603
CHANCELLORS RDG 4,276500,42,0.2105,10.213698630137
CHANCELLORS RDG 5,3e+05,46,0.2065,8.53698630136986
CHANDLER HGHTS,0,15,0.564,23.4027397260274
CHANDLER HLS,0,25,0.644,14.9342465753425
CHANDLER S H FRM SEC I,23750,30,0.457,8.79178082191781
CHARL-MONT,40000,25,0.183,23.4027397260274
CHARLES SQR TWNHMS PH 01,0,24,0.0375,11.6383561643836
CHARLES SQR TWNHMS PH 02,28000,33,0.032,3.33424657534247
CHATEAU HLS,0,5,1.232,23.4027397260274
CHATFIELD COURT TOWNHOMES,70000,30,0.039,11.386301369863
CHEEK J W LOT-FIVE PNTS,0,3,0.048,23.4027397260274
CHEEKLAND,20000,32,0.1865,12.3931506849315
CHELSEA MEADOWS,325750,66,0.167,5.03835616438356
CHELSEA MEADOWS 2,333250,40,0.1635,12.813698630137
CHENAULT PLC,0,20,0.14,23.4027397260274
CHEROKEE FRST,0,16,2.478,23.4027397260274
CHICOPEE HILLS,0,20,0.8585,23.4027397260274
CHOWNINGS PLC TWNHMS SEC1,149500,8,0.042,7.8054794520548
CHOWNINGS PLC TWNHMS SEC2,182250,14,0.043,2.95616438356164
CHRISTINE PRK,169000,7,0.434,6.46438356164384
CHURCH AND MAIN CONDOS,519750,10,0,4.82191780821918
CHUTNEY S-1,70000,12,0.453,23.4027397260274
CHUTNEY S-1A,0,10,0.578,23.4027397260274
CHUTNEY S-1B,0,6,0.8255,21.3150684931507
CHUTNEY S-3  PL-B/P 72/56,65000,10,0.454,23.4027397260274
CHUTNEY S-3  PL-B/P 89/75,0,7,1.102,4.96986301369863
CHUTNEY S-4,325000,7,1.476,3.63835616438356
CLAREMONT ACRES,68000,25,0.462,7.53698630136986
CLARENDON STREET CONDOS,0,3,0.159,14.8027397260274
CLAYTON CROSSING,125000,30,0.2395,12.0465753424658
CLAYTON-OAKLEY HMSTS DEV,0,21,0.31,13.2958904109589
CLEVELAND ESTATES SEC 01,0,2,0.5525,23.4027397260274
CLG VW DEV-GATES & BOYKIN,6000,18,0.216,16.9
CLNY HL CD 1/BL---3060/62,100500,11,0,17.9356164383562
CLNY HL CD 1/BL---3064,101000,5,0,7.39178082191781
CLNY HL CD 1/BL---3084,134000,5,0,7.39178082191781
CLNY HL CD 2/BL---3080/82,0,11,0,6.63013698630137
CLNY HL CD 2/BL3086/88/90,94250,20,0,7.36438356164384
CLUB ACRES-W END LAND CO,172750,98,0.297,16.4808219178082
CMPS DATACTR RDU1 CONDOS,0,1,0.88,6.86849315068493
COBBLE CRK SEC 01,2000,15,1.357,16.2849315068493
COBBLE CRK SEC 02,237000,15,2.002,23.4027397260274
COBBLE CRK SEC 03,0,9,2.033,23.4027397260274
COLE MILL TWN PH 1,167000,5,0.077,19.5424657534247
COLE MILL TWN PH 1-C/2,194750,4,0.057,
COLE MILL TWN PH 3/4/5/6,220500,11,0.076,9.96849315068493
COLE MILL TWN PH 7,106250,4,0.072,5.04383561643836
COLES POND PH 01 SEC 01,261000,15,0.37,15.3986301369863
COLES POND PH 01 SEC 02,0,9,0.36,19.0520547945206
COLES POND PH 02,295000,16,0.3675,11.9684931506849
COLLEGE HGHTS/PLAT 6B-129,0,15,0.13,23.4027397260274
COLLEGE HGHTS/PLAT 6B-130,0,26,0.1985,14.3068493150685
COLLEGE HGHTS/PLAT13 -090,10500,20,0.154,22.4027397260274
COLLEGE VIEW,0,97,0.171,18.1506849315068
COLLIER HGHTS,0,8,0.177,23.4027397260274
COLLIER PLC,0,59,0.14,23.4027397260274
COLLIER PLC MAP 1 OF 2,0,32,0.157,23.4027397260274
COLONIAL ACRES,0,82,0.521,23.4027397260274
COLONIAL APTS S1-2-3-4/AP,0,1,26.995,8.22191780821918
COLONIAL HGHTS,24000,25,0.408,15.3972602739726
COLONIAL HM BLDRS,0,12,0.2075,8.66849315068493
COLONIAL HM BLDRS BLKA-D,116500,25,0.268,21.4739726027397
COLONIAL HME BLDRS,169500,10,0.25,5.79178082191781
COLONIAL VLG,112000,102,0.206,6.88219178082192
COLONY HILL 02 TWN SEC 01,138500,6,0.0675,6.29041095890411
COLONY HILL 02 TWN SEC 02,149500,6,0.0625,5.62191780821918
COLONY HILL 02 TWN SEC 03,0,6,0.0635,23.4027397260274
COLONY HILL 02 TWN SEC 04,0,4,0.081,1.04931506849315
COLONY HILL 02 TWN SEC 05,199000,4,0.072,12.013698630137
COLONY HILL 02 TWN SEC 06,0,5,0.074,23.4027397260274
COLONY HILL 02 TWN SEC 07,58500,6,0.058,22.027397260274
COLONY HILL 02 TWN SEC 08,99000,5,0.06,15.8
COLONY HILL 02 TWN SEC 09,115000,6,0.0695,23.4027397260274
COLONY HILL 02 TWN SEC 10,0,8,0.105,23.4027397260274
COLONY HILL 02 TWN SEC 11,104500,6,0.089,23.4027397260274
COLONY HILL 02 TWN SEC 12,145000,5,0.094,17.8534246575343
COLONY HILL 02 TWN SEC 13,0,9,0.091,23.4027397260274
COLONY HILL 02 TWN SEC 14,127500,6,0.0625,15.6767123287671
COLONY HILL 02 TWN SEC 15,70250,6,0.0705,9.67260273972603
COLONY HILL 02 TWN SEC 16,135750,6,0.0675,18.1287671232877
COLONY HILL 02 TWN SEC 17,139000,6,0.057,19.3753424657534
COLONY HILL 02 TWN SEC 18,67500,6,0.0725,23.4027397260274
COLONY HILL 02 TWN SEC 19,141000,6,0.0745,23.4027397260274
COLONY HILL 02 TWN SEC 20,117000,7,0.071,23.4027397260274
COLONY HILL 02 TWN SEC 21,152500,6,0.0625,3.27671232876712
COLONY HL TW S-01 AR-1,0,7,0.095,7.58904109589041
COLONY HL TW S-02/03 AR-1,207000,21,0.102,22.6438356164384
COLONY PRK SEC 1,212500,20,0.568,15.872602739726
COLONY PRK SEC 2,0,16,0.552,15.2164383561644
COLONY PRK SEC 3,267500,16,0.601,7.1972602739726
COLONY PRK SEC 4,0,19,0.499,23.4027397260274
COLONY PRK SEC 5,187500,14,0.5865,23.3041095890411
COLONY PRK SEC 6,250000,14,0.5355,18.8534246575342
COLONY PRK SEC 7,0,25,0.605,23.4027397260274
COLONY RD OFC PRK BL 100,61500,17,0,3.21095890410959
COLONY RD OFC PRK BL 200,70000,13,0,2.7041095890411
COLONY RD OFC PRK BL 300,0,17,0,6.39178082191781
COLONY WDS EAST SEC 2,114500,4,0.3285,12.8479452054795
COLVARD FRMS CONSERVATION,0,15,0.863,0.953424657534246
COLVARD FRMS/PH-9,275000,30,0.6915,2.03013698630137
CONLIN ACRES SEC 1,0,23,0.16,23.4027397260274
CONLIN ACRES SEC 2,87500,15,0.201,9.55616438356164
CONLIN ACRES SEC 3,18750,10,0.253,9.96164383561644
CONSOLIDATED BUILDERS 18,180500,5,0.171,12.8027397260274
COOKE HOUSING CORP,45000,2,0.225,23.4027397260274
COPLEY FARM,11500,8,5.121,13.3095890410959
COPLEY FARMS TWNHMS/PH:04,0,59,0.068,
COPLEY FARMS TWNHMS/PH:05,0,11,0.056,1.11780821917808
COPLEY FARMS/PH 01,212000,8,0.1055,5.4972602739726
COPLEY FARMS/PH 02,252250,16,0.099,0.704109589041096
COPLEY FARMS/PH 3A,0,25,0.108,-0.112328767123288
COPLEY FARMS/PH:04,0,3,0.129,
COPLEY FARMS/PH:05,0,8,0.0755,1.11780821917808
COPPER CRK POD 06 PH 02,180000,9,0.114,4.13424657534247
COPPER CRK POD 06 PH 03,178500,25,0.11,4.58767123287671
CORDOBA STREET,132000,11,0.234,10.5315068493151
CORNWALLIS ACRES SEC 1,0,8,0.518,23.4027397260274
CORNWALLIS VILLAGE,0,3,1.116,7.14109589041096
COUNTRY KNOLL SEC 1,5000,13,1.256,23.4027397260274
COUNTRY KNOLL SEC 2,0,18,1.3225,23.4027397260274
COUNTRY KNOLL SEC 3,0,13,4.437,23.4027397260274
COUNTRY KNOLL WEST,0,6,2.962,3.53972602739726
COURTLAND PLC,0,17,0.475,17.813698630137
CRABTREE CRK WATERSHD PRJ,0,17,8.679,23.4027397260274
CRABTREE GREEN OFC PRK CD,93500,10,0,20.8054794520548
CRAWFORD HGHTS,0,27,0.476,23.4027397260274
CREEKSD @ BETHPAGE/PH:04,0,120,0.138,0.553424657534247
CREEKSD @ BETHPAGE/PH01,344000,123,0.163,1.83424657534247
CREEKSD @ BETHPAGE/PH01B,392000,55,0.164,2.95068493150685
CREEKSD @ BETHPAGE/PH02,367000,95,0.154,2.53150684931507
CREEKSD @BETHPAGE TW/PH3,291000,56,0.084,0.619178082191781
CREEKSD @BETHPAGE/PH:3,407250,140,0.158,1.21917808219178
CREEKSD TW,0,1,20.196,
CREEKSD TW L001-044/68-85,144250,62,0.036,5.95342465753425
CREEKSD TW L045-050,148750,6,0.036,4.98904109589041
CREEKSD TW L051-056,147750,6,0.037,12.641095890411
CREEKSD TW L057-061,140000,5,0.036,10.0547945205479
CREEKSD TW L062-067,130000,6,0.038,15.0438356164384
CREEKSD TW L089-090,159000,5,0.035,8.28904109589041
CREEKSIDE PH 02,202000,10,1.402,19.8986301369863
CREEKSIDE PH 03,242250,14,2.4495,14.5109589041096
CREEKSIDE WAY,109000,19,0.208,5.12328767123288
CREEKSTONE CONDOS,275000,17,0,7.86849315068493
CREST ST COMMUNITY SEC 1,0,23,0.194,14.9013698630137
CREST ST COMMUNITY SEC 2,0,26,0.189,18.4
CREST ST COMMUNITY SEC 3,0,14,0.201,23.4027397260274
CREST ST COMMUNITY SEC 4,0,19,0.214,23.3068493150685
CRESTFIELD,240500,32,0.1495,5.58630136986301
CRESTVIEW,0,15,1.25,23.4027397260274
CRESTWOOD BLK A-B-C-D-E,0,16,0.2735,23.4027397260274
CRICKET HILL CONDO I,95000,5,0,6.89315068493151
CRICKET HILL CONDO II,1e+05,5,0,23.4027397260274
CROASDAILE CC/GOLF CRS,0,9,18.972,23.4027397260274
CROASDAILE DR 3310 OFC CD,0,1,1.999,
CROASDAILE DR EXC SU P01,0,1,1.395,
CROASDAILE DR EXC SU P02,748000,1,1.462,
CROASDAILE FARM NORTH,0,113,0.255,1.11232876712329
CROASDAILE FARM NORTH TW,0,34,0.1135,0.547945205479452
CROASDAILE FRM 01 P-1 S-A,32500,60,0.61,16.1369863013699
CROASDAILE FRM 01 P-1 S-B,480500,34,1.239,23.4027397260274
CROASDAILE FRM 02,175000,38,1.481,11.5616438356164
CROASDAILE FRM 03,465000,55,0.66,15.2821917808219
CROASDAILE FRM 06,712750,12,0.794,9.49315068493151
CROASDAILE FRM 06 P-2,280000,37,1.292,5.26164383561644
CROASDAILE FRM 07,670000,70,0.767,4.52876712328767
CROASDAILE GRNWAY/CMN/OTR,0,9,4.022,23.4027397260274
CROASDAILE OFC PRK CD P02,0,1,0,1.64109589041096
CROASDAILE OFC PRK CD P03,99000,4,0,23.4027397260274
CROASDAILE OFC PRK CD P04,0,12,0,12.4301369863014
CROASDAILE SHT 01,0,33,0.739,15.7575342465753
CROASDAILE SHT 02,0,23,0.643,14.0890410958904
CROASDAILE SHT 03,390000,17,0.719,5.2986301369863
CROASDAILE SHT 05,0,8,0.742,11.0109589041096
CROASDAILE SHT 06,312000,28,0.8265,23.0438356164384
CROASDAILE SHT 07,288500,22,0.8455,17.7041095890411
CROASDAILE SHT 08 P-3,350500,26,0.823,16.7739726027397
CROOKED CRK PH 1,205000,33,0.358,4.7041095890411
CROOKED CRK PH 2 PT A,180000,27,0.297,12.827397260274
CROOKED CRK PH 2 PT B,175000,15,0.252,8.76027397260274
CROOKED CRK PH 3,161000,26,0.2945,14.2082191780822
CROOKED CRK PH 4,170000,30,0.2955,14.7178082191781
CROSSRDS OFC PRK P1-3-4,0,3,0.34,22.4027397260274
CROSSRDS OFC PRK P2/CONDO,0,15,0,5.3013698630137
CROWN PNTE PH 01,0,16,0.309,17.1794520547945
CROWN PNTE PH 01 REV,80500,30,0.3555,18.013698630137
CROWN PNTE PH 02,0,72,0.297,23.4027397260274
CRYSTAL LAKE TWNHMS,99500,19,0.032,5.76027397260274
CRYSTAL MDWS BLK C - PART,115500,5,0.2,14.641095890411
CRYSTAL MDWS BLK F - PART,50000,4,0.221,17.2849315068493
CRYSTAL MDWS PH 01 SEC A,120000,19,0.205,9.45205479452055
CRYSTAL MDWS PH 01 SEC B,122500,15,0.22,17.3041095890411
CRYSTAL PN 1 TW P01,56500,16,0.03,10.2821917808219
CRYSTAL PN 1 TW P02,64500,13,0.03,21.8958904109589
CRYSTAL PN 2 TW P01,0,5,0.034,5.04931506849315
CRYSTAL PN 2 TW P02,52500,13,0.029,23.4027397260274
CRYSTAL PN 2 TW P03,74250,16,0.028,10.7698630136986
CRYSTAL PN 2 TW P04,69000,9,0.028,21.4383561643836
CRYSTAL PN 2 TW P05,69750,14,0.028,12.5561643835616
CRYSTAL PN 2 TW P06,0,9,0.029,23.4027397260274
CRYSTAL PN 2 TW P07,63000,16,0.029,23.4027397260274
CRYSTAL PN 2 TW P08,0,13,0.029,21.7315068493151
CRYSTAL PN 2 TW P09,80000,7,0.029,23.4027397260274
CRYSTAL PN 2 TW P10,0,9,0.028,23.4027397260274
CRYSTAL PN 2 TW P11,126250,16,0.028,0.879452054794521
CRYSTAL PN 2 TW P13/14,62000,11,0.042,20.3041095890411
CRYSTAL PN 2 TW P15,0,5,0.047,23.4027397260274
CRYSTAL PN 2 TW P16/17,55500,10,0.042,23.4027397260274
CRYSTAL PN 2 TW P18,0,7,0.028,23.4027397260274
CRYSTAL PN 2 TW P19/20,25000,12,0.035,23.4027397260274
CRYSTAL PN 2 TW P21,73000,7,0.028,18.4
CRYSTAL PN 2 TW P22/27,78000,12,0.036,20.7630136986301
CRYSTAL PN 2 TW P23/24,61000,11,0.041,20.6849315068493
CRYSTAL PN 2 TW P25/26,0,14,0.028,23.4027397260274
CRYSTAL PN 2 TW P28/29,61500,10,0.039,19.3041095890411
CRYSTAL PN 2 TW P30/31/32,0,19,0.03,23.4027397260274
CRYSTAL PN 4 TW P12,75000,7,0.027,7.04657534246575
CRYSTL OAKS TW PH 1,110500,5,0.047,23.4027397260274
CRYSTL OAKS TW PH 1 BL 09,108000,7,0.028,18.8
CRYSTL OAKS TW PH 2 BL 07,122000,7,0.028,7.04931506849315
CRYSTL OAKS TW PH 2 BL 10,0,5,0.047,23.4027397260274
CRYSTL OAKS TW PH 3 BL 05,0,7,0.028,21.5219178082192
CRYSTL OAKS TW PH 3 BL 06,107000,5,0.047,19.6917808219178
CRYSTL OAKS TW PH 4/5,125000,12,0.048,7.45479452054795
CRYSTL OAKS TW PH 6/7/8/9,105000,23,0.049,19.558904109589
CT YRDS@ANDREWS CHP/PH 01,479000,49,0.151,1.53424657534247
CT YRDS@ANDREWS CHP/PH 02,0,10,0.143,-0.152054794520548
DAIRY POND TWNHMS PH 1,0,7,0.137,23.4027397260274
DAIRY POND TWNHMS PH 2,432500,7,0.137,7.86575342465754
DAIRY POND TWNHMS PH 3-4,491000,10,0.173,4.72054794520548
DANIELS FARM,2e+05,13,1.19,1.87397260273973
DAVIS CREST,0,45,0.254,23.4027397260274
DAVIS PARK TWNHMS/PH:1&2,0,157,0.064,0.8
DEER FRST PH 1 SEC 1,107750,14,1.531,13.3849315068493
DEER FRST PH 1 SEC 2,280000,5,1.782,20.6013698630137
DEER FRST PH 2,175500,10,1.739,2.53972602739726
DEER FRST PH 2 SEC 1,22750,12,0.9855,10.7520547945205
DEER FRST PH 2 SEC 2,0,9,1.114,15.3698630136986
DEER RUN SEC 1,0,6,0.2205,12.2191780821918
DEER RUN SEC 2,0,7,0.225,23.4027397260274
DEER RUN SEC 3 PH A,38000,10,0.1865,23.4027397260274
DEER RUN SEC 3 PH B,42500,8,0.2975,23.4027397260274
DELMAR FRST SEC 2,5000,9,0.461,23.4027397260274
DELTA WEST CD/BLD A-B-C,0,1,3.519,13.8739726027397
DELVIN WOODS,0,6,0.2195,3.51643835616438
DEVONSHIRE MANOR,75750,54,0.506,22.8958904109589
DIRON CONDOS,0,1,0.912,
DOGWD AC EXT 1,139500,5,0.49,6.55068493150685
DOGWD AC EXT 2,0,50,0.4575,14.5931506849315
DOGWD AC/CARVER ST EXT,0,7,0.469,17.4
DOGWD AC/PLAT BK24 -PG86,80000,65,0.373,10.2657534246575
DOGWD AC/PLAT BK28B-PG57,0,40,0.649,23.4027397260274
DONNA DEE ACRES,0,12,0.711,13.0547945205479
DOVER HGHTS,80000,53,0.461,22.6547945205479
DOVER RIDGE PH 01,206500,52,0.2725,10.2178082191781
DOVER RIDGE PH 02,202000,13,0.247,8.7013698630137
DOVER RIDGE PH 02-A,208000,33,0.268,6.94794520547945
DRHM CEN PK CHS CMNTY CDO,359500,25,0,5.87123287671233
DRHM CNTY HMN SVCS COMPLX,0,4,0.751,23.4027397260274
DRHM CTRL BUS DIST,0,140,0.1485,23.4027397260274
DUKE FOR PARTNERS CONDOS,0,1,1.987,1.94794520547945
DUKE FOREST PLC CONDOS,1e+05,24,0,4.38630136986301
DUKE TOWER CONDOS,85000,95,0,4.25890410958904
DUKE UNIV EC TRINITY HGTS,275500,18,0.164,10.7835616438356
DUKE UNIV HOMESITES,2e+05,22,0.487,15.2739726027397
DUKE UNIV HOMESITES SEC 1,252000,27,0.581,7.95616438356164
DUKE UNIV HOMESITES SEC 2,256250,40,0.54,9.9958904109589
DUKE UNIV HOMESITES SEC 3,215000,35,0.584,14.0547945205479
DUKE UNIV HOMESITES SEC 5,302750,26,0.564,10.4616438356164
DUKE UNIV HOMESITES SEC 6,292750,34,0.6355,11.1369863013699
DUKE UNIV HOMESITES SEC 7,301500,36,0.7625,12.7178082191781
DUKE UNIV HOMESITES SEC 8,223250,20,0.5945,23.4027397260274
DUKE UNIV HOMESITES SEC 9,178500,84,0.4985,23.4027397260274
DUKE UNIV RES DEV 12,172000,16,0.473,22.3013698630137
DUKE UNV LT-ALG CRANFORD,225000,31,0.587,11.9219178082192
DUKE UNV LT-ALG PINECREST,0,9,0.386,23.4027397260274
DUKE UNV LT-ALG PINECRT R,0,44,0.5685,23.4027397260274
DUNBARTON TW P02 L176,229000,1,0.132,15.4575342465753
DUNBARTON TW S01 P01,87500,18,0.1015,23.4027397260274
DUNBARTON TW S01 P02,187500,7,0.094,20.1342465753425
DUNBARTON TW S01 P03,0,15,0.117,23.4027397260274
DUNBARTON TW S02 P01,110000,2,0.1055,2.75205479452055
DUNBARTON TW S02 P02,121000,2,0.1,21.1534246575342
DUNBARTON TW S03 P01,168500,5,0.06,6.03287671232877
DUNBARTON TW S03 P02,194000,7,0.093,23.4027397260274
DUNBARTON TW S04 P01,183250,4,0.0895,14.8438356164384
DUNBARTON TW S04 P02,246500,2,0.0795,11.2821917808219
DUNBARTON TW S05 P01,149500,5,0.075,3.91643835616438
DUNBARTON TW S05 P02,83000,4,0.0835,22.1493150684932
DUNBARTON TW S06 P01,160000,3,0.082,10.3780821917808
DUNBARTON TW S06 P02,0,2,0.112,13.4780821917808
DUNBARTON TW S07 P02,184000,3,0.105,2.58082191780822
DUNBARTON TW S07-08 P01,231000,6,0.1035,15.5397260273973
DUNBARTON TW S08 P02,130000,2,0.103,21.4027397260274
DUNBARTON TW S09 P01,145000,3,0.1,23.4027397260274
DUNBARTON TW S09 P02,232500,2,0.095,
DUNBARTON TW S10 P01,225000,6,0.093,8.80547945205479
DUNBARTON TW S10 P02,82500,2,0.097,
DUNBARTON TW S11 P01,0,3,0.098,
DUNBARTON TW S11 P02,206250,2,0.109,0.953424657534246
DUNBARTON TW S12 P02,199500,3,0.086,3.08493150684931
DUNBARTON TW S13 P02,98500,2,0.094,7.11506849315069
DUNBARTON TW S14 P02,0,3,0.101,11.9342465753425
DUNBARTON TW S15 P02,0,3,0.083,23.4027397260274
DUNBARTON TW S16 P02,0,3,0.082,9.2958904109589
DUNBARTON TW S17 P02,225000,3,0.111,5.2986301369863
DUNBARTON TW S18 P02,0,3,0.081,23.4027397260274
DUNWOODY,267500,9,0.694,9.92054794520548
DURAL ACRES SEC 1,0,26,0.9695,23.4027397260274
DURHAM CNTY FAIR ASSN,7560000,3,3.371,4.41643835616438
DURHAM COTTON MANF CO,65000,59,0.146,6.28219178082192
DURHAM FOUNDTN SEC 1,174000,25,0.326,5.08630136986301
DURHAM FOUNDTN SEC 2,275000,7,0.258,12.2575342465753
DURHAM HOSIERY MLS LT 1-8,26500,8,0.1745,22.3150684931507
DURHAM INDUSTRIAL DEV CO,0,5,6.099,23.4027397260274
DURHAM INVSTMTS CORP,47500,12,0.3435,13.227397260274
DURHAM KRESS CD/CB9-159,420000,19,0,4.27945205479452
DURHAM LOAN & TRUST CO,0,4,0.241,23.3178082191781
DURHAM RLTY & INS/PB-003B,47000,11,0.223,14.6767123287671
DURHAM RLTY & INS/PB-011,0,16,0.171,15.8082191780822
DURHAM RLTY & INS/PB-013,116000,15,0.219,18.686301369863
DURHAM RLTY & INS/PB-023,235000,7,0.615,15.2109589041096
DURHAM RLTY & INS/PB-028A,117500,16,0.3215,5.21506849315069
DURHAM RLTY & INS/PB-031B,265000,8,0.193,7.04109589041096
DURHAM RLTY & INS/PB-040,55000,6,0.2515,13.0780821917808
DURHAM RLTY & INS/PB-043,272500,18,0.3235,5.89041095890411
DW CAR ARB/PH:5A-5B-6,346500,157,0.133,1.95616438356164
DW CAR ARB/PH:5C,586750,10,0.194,
DW CAROLINA ARB/PH 01B&05,302500,25,0.131,3.58219178082192
DW CAROLINA ARB/PH 1,360000,243,0.128,5.71506849315069
DW CAROLINA ARB/PH 1B,425000,34,0.182,5.53972602739726
DW CAROLINA ARB/PH 2A,332500,191,0.143,5.01643835616438
DW CAROLINA ARB/PH 2B,411000,158,0.157,3.63835616438356
DW CAROLINA ARB/PH 2C,308000,93,0.133,4.52876712328767
DW CAROLINA ARB/PH 3A&4A,352500,146,0.14,3.61369863013699
DW CAROLINA ARB/PH 4D,393000,41,0.149,1.61917808219178
DW CAROLINA ARB/PH3B-4C,378500,274,0.149,2.44657534246575
EAGLEROCK,0,21,0.496,23.4027397260274
EAGLES PNT PH 01,225500,64,0.238,14.6739726027397
EAGLES PNT PH 02,287000,54,0.237,4.47397260273973
EAGLES PNT PH 03,345750,52,0.2835,4.8
EAST END VLG,77500,38,0.132,
EAST HIGHLAND GROUP 3,0,18,0.525,23.4027397260274
EAST HIGHLANDS,160000,2,0.734,6.50684931506849
EASTERN HGHTS,34000,108,0.177,7.63561643835616
EASTWAY VLG CD,0,5,0.199,7.39178082191781
ED COOK ROAD SUBDIV,143750,10,0.776,10.5315068493151
EDEN LAKES SEC 1,128000,35,0.468,8.72602739726028
EDEN LAKES SEC 4,0,28,0.505,23.4027397260274
EDGEMNT HMS-CALVERT PL/SF,0,2,0.1255,0.698630136986301
EDGEMONT COMMUNITY PH 1A,0,23,0.134,23.4027397260274
EDGEMONT/PROP-CARR J S,15000,7,0.098,4.96712328767123
EDGEWOOD/PLAT BK014-PG071,117500,25,0.177,10.1232876712329
ELAINE CIRCLE,13500,14,0.4495,7.27945205479452
ELERBY HGHTS,12500,51,0.188,8.95616438356164
ELLERBEE CRK PRESRV PH 01,177500,92,0.241,8.36712328767123
ELLERBEE CRK PRESRV PH 02,155000,47,0.239,7.75479452054795
ELLERBEE STREET SUBD,104000,10,0.2035,17.0520547945205
ELLIS PLC,0,124,0.202,21.227397260274
ELLISON HGHTS,0,37,0.514,5.39178082191781
ELLISWOOD,0,52,0.258,23.4027397260274
ELLISWOOD SEC 2,0,15,0.276,23.4027397260274
ELLISWOOD SEC 3,0,8,0.2495,19.9013698630137
ELLISWOOD SEC 4,0,30,0.263,23.4027397260274
ELTON ROAD BEND SEC 2,75000,6,0.446,23.4027397260274
EMORYWOOD ESTATES SEC 1,0,37,0.565,11.3013698630137
EMORYWOOD ESTATES SEC 2,0,23,0.479,12.3972602739726
EMORYWOOD ESTATES SEC 3,0,24,0.493,23.4027397260274
EMORYWOOD ESTATES SEC 4,0,27,0.483,16.927397260274
EMORYWOOD ESTATES SEC 6,0,33,0.46,23.4027397260274
EMORYWOOD ORCHARDS,236500,35,0.234,8.45753424657534
EMORYWOOD ORCHARDS PH 01,212750,20,0.233,7.72602739726027
EMORYWOOD ORCHARDS/PH:2-3,0,14,0.242,1.95342465753425
ENGLEWOOD,92000,179,0.171,12.5643835616438
ENO COMMONS TWNHMS,208500,22,0.0915,5.58904109589041
ENO ESTATES,165000,20,2.2605,3.71232876712329
ENO ESTATES SEC 2,70000,15,2.69,23.4027397260274
ENO FALLS,760000,5,0.585,1.53972602739726
ENO FOREST PH A,375000,19,0.466,12.5534246575342
ENO FOREST PH B,303500,31,0.398,6.7013698630137
ENO TRACE PH 1,127000,38,0.234,23.4027397260274
